ID,Length,Mass (amu),Isoelectric point ,Net_charge,Hydrophobicity (Kcal * mol -1)
AMP1,19,1940.1536,10.64,2,16.78
AMP2,27,3072.8443,10.69,6,21.96
AMP3,26,2904.7514,11.25,6,16.05
AMP4,26,2884.7826,11.25,6,15.71
AMP5,29,3032.7268,11.03,4,20.03
AMP6,22,2496.4875,11.01,5,15.18
AMP7,25,2621.3714,9.56,4,18.82
AMP8,21,2429.4188,10.74,5,13.76
AMP9,30,3866.9400,4.35,-4,65.86
AMP10,20,2551.6708,12.52,10,32.54
AMP11,13,2000.1495,12.53,7,14.61
AMP12,13,1440.7475,3.93,-1,12.93
AMP13,24,2781.8623,12.55,10,25.04
AMP14,26,2976.7466,12.79,5,21.61
AMP15,24,2594.4548,10.58,4,11.42
AMP16,20,2371.4214,11.25,6,21.44
AMP17,18,2227.0547,10.21,7,19.41
AMP18,23,2453.3462,10.6,1,19.16
